0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
0,d_18950101,0,0,0,0,0,100,0,0,0,0,0
0,d_18950201,0,0,0,0,0,100,0,0,0,0,0
0,d_18950301,0,0,0,0,0,100,0,0,0,0,0
0,d_18950401,0,0,0,0,0,100,0,0,0,0,0
0,d_18950501,0,0,0,0,0,100,0,0,0,0,0
0,d_18950601,0,0,0,0,0,100,0,0,0,0,0
0,d_18950701,0,0,0,0,0,100,0,0,0,0,0
0,d_18950801,0,0,0,0,0,100,0,0,0,0,0
22.6,d_18950901,77.5,63.9,53.6,48.9,41.4,0,0,0,0,0,0
7.8,d_18951001,92.2,83.8,62.3,56.1,48.5,0,0,0,0,0,0
7.6,d_18951101,92.4,82.4,61.4,55.7,48.3,0,0,0,0,0,0
13.3,d_18951201,86.8,66.8,54.6,47.5,32.4,0,0,0,0,0,0
31.3,d_18960101,68.4,58.1,47.5,36,13.3,0,0.3,0,0,0,0
9.3,d_18960201,90.7,82.2,62.9,55.2,36.8,0,0,0,0,0,0
11.2,d_18960301,88.8,79.8,59.5,47.5,19.9,0,0,0,0,0,0
25.1,d_18960401,67.6,46,11.2,0.1,0,0,7.4,2.2,0,0,0
64.8,d_18960501,13.9,1,0,0,0,0,21.2,13.5,4.1,0.5,0
78.1,d_18960601,13.4,1,0,0,0,0,8.6,2.9,0,0,0
78.3,d_18960701,0.5,0,0,0,0,0,21.2,4.8,0,0,0
90.4,d_18960801,2.2,0.5,0,0,0,0,7.4,0.7,0,0,0
80.4,d_18960901,6.3,2.6,0.2,0,0,0,13.3,1.3,0,0,0
81.3,d_18961001,5,1.3,0,0,0,0,13.6,0.8,0,0,0
43.8,d_18961101,0.5,0,0,0,0,0,55.8,22.4,0.3,0.1,0
44.6,d_18961201,1,0,0,0,0,0,54.4,17.1,0.1,0,0
62.3,d_18970101,13.3,6.4,0,0,0,0,24.4,3.2,0.2,0.1,0
76,d_18970201,18.5,10.8,0,0,0,0,5.4,1.7,0.1,0,0
63.2,d_18970301,8.2,0.6,0,0,0,0,28.4,8,0.3,0.1,0
56.6,d_18970401,4.9,0.2,0,0,0,0,38.4,16.4,1.6,0.1,0
70.8,d_18970501,5.1,2,0,0,0,0,24.1,6.2,0.1,0,0
41.3,d_18970601,1.4,0.1,0,0,0,0,57.3,30.1,2.9,0,0
42,d_18970701,2,0,0,0,0,0,55.9,33.7,7.6,2.6,0.4
73.7,d_18970801,14.6,1,0,0,0,0,11.9,8,1.7,0.1,0
62.1,d_18970901,28.3,2.5,0,0,0,0,9.5,5.1,0.6,0,0
30.2,d_18971001,62.5,41.9,3.2,0.4,0,0,7.4,3,0,0,0
17.3,d_18971101,80.3,50.5,4.5,0.8,0,0,2.5,0,0,0,0
12.2,d_18971201,87.8,82.1,8.4,2.9,0.2,0,0,0,0,0,0
12.9,d_18980101,86.2,78.7,9.5,2.4,0,0,0.9,0,0,0,0
36.9,d_18980201,57.9,20.8,0,0,0,0,5.1,1.1,0,0,0
20.3,d_18980301,76.8,45.6,10.1,0,0,0,2.9,0.2,0,0,0
11.4,d_18980401,88.6,65.7,39.8,16.9,0.3,0,0,0,0,0,0
21.5,d_18980501,78.7,62.8,42.2,21.3,1.5,0,0,0,0,0,0
31.6,d_18980601,66,52.9,34.5,20.4,1.2,0,2.4,0.3,0,0,0
24.2,d_18980701,70.9,58.2,39.5,30.9,16.8,0,5,1.6,0.1,0,0
26.4,d_18980801,65.2,53.2,35.8,25.9,8.7,0,8.2,2.2,0.4,0,0
22,d_18980901,76.4,66.3,43.1,33.1,17.5,0,1.6,0.6,0,0,0
46.4,d_18981001,51.7,36.8,11.6,0.9,0,0,1.9,0.4,0,0,0
38.4,d_18981101,60.9,43.2,18.2,5.3,0.2,0,0.5,0,0,0,0
13.8,d_18981201,86.2,63.1,31.5,16.5,2.3,0,0,0,0,0,0
18.1,d_18990101,81.9,61.7,21.7,10.5,1.6,0,0,0,0,0,0
16.9,d_18990201,83,53.9,12.1,3.1,0,0,0,0,0,0,0
26.8,d_18990301,73,36.5,3.4,0.1,0,0,0.2,0,0,0,0
50.8,d_18990401,46.6,8.8,0.6,0,0,0,2.7,0.5,0,0,0
71.1,d_18990501,20,6.9,0,0,0,0,8.7,0.4,0,0,0
27,d_18990601,4.6,2,0,0,0,0,68.4,57.8,19.7,10.6,1.7
60,d_18990701,12.8,6.4,0.7,0,0,0,27.2,8.5,0.6,0,0
57.6,d_18990801,12.7,7.2,1.4,0,0,0,29.7,18.6,2.1,0.3,0
64.5,d_18990901,12.2,5.5,0,0,0,0,23.3,11.2,0.5,0,0
53.1,d_18991001,10.6,4.1,0,0,0,0,36.3,18.6,2.4,0.2,0
59.8,d_18991101,17.7,7.5,0.4,0,0,0,22.4,10,0.7,0,0
61.2,d_18991201,17.3,6.7,0.3,0,0,0,21.5,9.3,1,0,0
50.4,d_19000101,20.2,5.6,0.2,0,0,0,29.4,13.4,1.1,0,0
58.5,d_19000201,23.2,5.9,0,0,0,0,18.2,4,0.1,0,0
46.4,d_19000301,51.3,33.5,5.7,0.7,0,0,2.3,0.3,0,0,0
33.1,d_19000401,46.6,35.5,16.2,6,0,0,20.3,5.3,0,0,0
17,d_19000501,83,55.7,24.1,13.9,0.9,0,0,0,0,0,0
5.5,d_19000601,94.6,83.2,46.4,31,15.2,0,0,0,0,0,0
54.4,d_19000701,34.7,18.5,2.2,0.1,0,0,10.9,5.2,0.3,0,0
57.1,d_19000801,4.6,0.5,0,0,0,0,38.3,20.1,3.2,1,0.1
36.2,d_19000901,3.7,0.3,0,0,0,0,60.1,46.9,22.6,6.5,0.8
22.4,d_19001001,0,0,0,0,0,0,77.5,66.9,54.3,45.5,24.1
26.9,d_19001101,0,0,0,0,0,0,73.1,62.8,49.7,37.4,13.5
28.2,d_19001201,0.2,0,0,0,0,0,71.5,62.6,48.8,37.1,12.3
28.4,d_19010101,0.1,0,0,0,0,0,71.4,62.6,49.4,37.4,8.8
18,d_19010201,0,0,0,0,0,0,81.9,69.6,59.1,52.1,37.8
0,d_19010301,0,0,0,0,0,0,100,95.9,74,65.9,57.5
29.5,d_19010401,0.7,0,0,0,0,0,69.7,64,51,39.3,22.5
22.7,d_19010501,19.1,10.2,1.7,0,0,0,58.3,51.7,34.6,15.3,3.3
43.7,d_19010601,23.4,18.8,7.6,1.1,0,0,33,13,0.1,0,0
