year,winner,lifespan,novel,publisher,author_origin,author_sex
1918,Ernest Poole,(1880–1950),His Family,Macmillan (1917),Illinois,m
1919,Booth Tarkington,(1869–1949),The Magnificent Ambersons,"Doubleday, Page & Co. (1918)",Indiana,m
1920,,,,,,
1921,Edith Wharton,(1862–1937),The Age of Innocence,D. Appleton & Company (1920),New York,f
1922,Booth Tarkington,(1869–1949),Alice Adams,"Doubleday, Page & Co. (1921)",Indiana,m
1923,Willa Cather,(1873–1947),One of Ours,Alfred A. Knopf (1922),Virginia,f
1924,Margaret Wilson,(1882–1973),The Able McLaughlins,Harper & Brothers (1923),Iowa,f
1925,Edna Ferber,(1885–1968),So Big,Grosset & Dunlap (1924),Michigan,f
1926,Sinclair Lewis,(1885–1951),Arrowsmith[b],Harcourt Brace & Co. (1925),Minnesota,m
1927,Louis Bromfield,(1896–1956),Early Autumn,Amereon Ltd (1926),Ohio,m
1928,Thornton Wilder,(1897–1975),The Bridge of San Luis Rey,Albert & Charles Boni (1927),Wisconsin,m
1929,Julia Peterkin,(1880–1961),Scarlet Sister Mary,Bobbs-Merrill Company (1928),South Carolina,f
1930,Oliver La Farge,(1901–1963),Laughing Boy,Houghton Mifflin (1929),New York,m
1931,Margaret Ayer Barnes,(1886–1967),Years of Grace,Houghton Mifflin (1930),Illinois,f
1932,Pearl S. Buck,(1892–1973),The Good Earth,John Day Company (1931),West Virginia,f
1933,T. S. Stribling,(1881–1965),The Store,"Doubleday, Doran (1932)",Tennessee,m
1934,Caroline Miller,(1903–1992),Lamb in His Bosom,Harper & Brothers (1933),Georgia,f
1935,Josephine Winslow Johnson,(1910–1990),Now in November,Simon & Schuster (1934),Missouri,f
1936,Harold L. Davis,(1894–1960),Honey in the Horn,Harper & Brothers (1935),Oregon,m
1937,Margaret Mitchell,(1900–1949),Gone with the Wind,Macmillan Publishers (1936),Georgia,f
1938,John Philips Marquand,(1893–1960),The Late George Apley,"Little, Brown and Company (1937)",Delaware,m
1939,Marjorie Kinnan Rawlings,(1896–1953),The Yearling,Charles Scribner's Sons (1938),"Washington, D.C.",f
