Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,7:23,7:07,6:27,6:34,5:45,5:15,5:16,5:42,6:16,6:49,7:26,7:03
2,7:23,7:06,6:26,6:32,5:44,5:15,5:17,5:44,6:17,6:50,7:28,7:04
3,7:23,7:04,6:24,6:30,5:43,5:14,5:17,5:45,6:18,6:51,7:29,7:05
4,7:23,7:03,6:22,6:28,5:41,5:14,5:18,5:46,6:19,6:52,7:30,7:06
5,7:23,7:02,6:21,6:27,5:40,5:13,5:19,5:47,6:20,6:54,7:31,7:07
6,7:23,7:01,6:19,6:25,5:39,5:13,5:19,5:48,6:22,6:55,6:33,7:08
7,7:23,7:00,6:17,6:23,5:37,5:13,5:20,5:49,6:23,6:56,6:34,7:09
8,7:23,6:58,6:16,6:21,5:36,5:13,5:21,5:50,6:24,6:57,6:35,7:10
9,7:22,6:57,6:14,6:20,5:35,5:12,5:21,5:51,6:25,6:58,6:36,7:11
10,7:22,6:56,6:12,6:18,5:34,5:12,5:22,5:52,6:26,6:59,6:38,7:12
11,7:22,6:55,6:11,6:16,5:33,5:12,5:23,5:53,6:27,7:00,6:39,7:13
12,7:21,6:53,6:09,6:15,5:31,5:12,5:24,5:54,6:28,7:02,6:40,7:14
13,7:21,6:52,7:07,6:13,5:30,5:12,5:24,5:55,6:29,7:03,6:42,7:15
14,7:21,6:50,7:05,6:11,5:29,5:12,5:25,5:56,6:30,7:04,6:43,7:15
15,7:20,6:49,7:04,6:10,5:28,5:12,5:26,5:58,6:31,7:05,6:44,7:16
16,7:20,6:48,7:02,6:08,5:27,5:12,5:27,5:59,6:32,7:06,6:45,7:17
17,7:19,6:46,7:00,6:06,5:26,5:12,5:28,6:00,6:34,7:08,6:47,7:17
18,7:18,6:45,6:58,6:05,5:25,5:12,5:29,6:01,6:35,7:09,6:48,7:18
19,7:18,6:43,6:56,6:03,5:24,5:12,5:30,6:02,6:36,7:10,6:49,7:19
20,7:17,6:42,6:55,6:02,5:23,5:12,5:31,6:03,6:37,7:11,6:50,7:19
21,7:16,6:40,6:53,6:00,5:23,5:12,5:31,6:04,6:38,7:12,6:52,7:20
22,7:16,6:39,6:51,5:58,5:22,5:13,5:32,6:05,6:39,7:14,6:53,7:20
23,7:15,6:37,6:49,5:57,5:21,5:13,5:33,6:06,6:40,7:15,6:54,7:21
24,7:14,6:36,6:48,5:55,5:20,5:13,5:34,6:07,6:41,7:16,6:55,7:21
25,7:13,6:34,6:46,5:54,5:19,5:14,5:35,6:08,6:42,7:17,6:56,7:22
26,7:12,6:32,6:44,5:52,5:19,5:14,5:36,6:10,6:43,7:19,6:58,7:22
27,7:12,6:31,6:42,5:51,5:18,5:14,5:37,6:11,6:45,7:20,6:59,7:22
28,7:11,6:29,6:41,5:50,5:17,5:15,5:38,6:12,6:46,7:21,7:00,7:22
29,7:10,,6:39,5:48,5:17,5:15,5:39,6:13,6:47,7:22,7:01,7:23
30,7:09,,6:37,5:47,5:16,5:16,5:40,6:14,6:48,7:24,7:02,7:23
31,7:08,,6:35,,5:16,,5:41,6:15,,7:25,,7:23
