Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,16:28,17:04,17:41,19:18,19:53,20:24,20:35,20:13,19:26,18:33,17:43,16:18
2,16:29,17:06,17:42,19:19,19:54,20:25,20:34,20:12,19:25,18:31,17:42,16:18
3,16:29,17:07,17:43,19:20,19:55,20:26,20:34,20:10,19:23,18:29,17:41,16:17
4,16:30,17:08,17:45,19:22,19:56,20:27,20:34,20:09,19:21,18:27,17:40,16:17
5,16:31,17:10,17:46,19:23,19:57,20:27,20:34,20:08,19:19,18:26,17:38,16:17
6,16:32,17:11,17:47,19:24,19:58,20:28,20:33,20:06,19:18,18:24,16:37,16:17
7,16:33,17:12,17:48,19:25,20:00,20:29,20:33,20:05,19:16,18:22,16:36,16:17
8,16:34,17:14,17:50,19:26,20:01,20:29,20:33,20:04,19:14,18:20,16:35,16:17
9,16:36,17:15,17:51,19:27,20:02,20:30,20:32,20:02,19:12,18:19,16:34,16:17
10,16:37,17:16,17:52,19:28,20:03,20:30,20:32,20:01,19:10,18:17,16:33,16:17
11,16:38,17:18,17:53,19:30,20:04,20:31,20:31,20:00,19:09,18:15,16:32,16:17
12,16:39,17:19,17:54,19:31,20:05,20:31,20:31,19:58,19:07,18:14,16:31,16:17
13,16:40,17:20,18:56,19:32,20:06,20:32,20:30,19:57,19:05,18:12,16:30,16:17
14,16:41,17:22,18:57,19:33,20:07,20:32,20:29,19:55,19:03,18:10,16:29,16:17
15,16:42,17:23,18:58,19:34,20:08,20:33,20:29,19:54,19:01,18:09,16:28,16:18
16,16:44,17:24,18:59,19:35,20:09,20:33,20:28,19:52,19:00,18:07,16:27,16:18
17,16:45,17:26,19:00,19:37,20:10,20:33,20:27,19:51,18:58,18:06,16:26,16:18
18,16:46,17:27,19:02,19:38,20:11,20:34,20:27,19:49,18:56,18:04,16:25,16:18
19,16:47,17:28,19:03,19:39,20:12,20:34,20:26,19:48,18:54,18:02,16:24,16:19
20,16:49,17:30,19:04,19:40,20:13,20:34,20:25,19:46,18:52,18:01,16:24,16:19
21,16:50,17:31,19:05,19:41,20:14,20:34,20:24,19:45,18:51,17:59,16:23,16:20
22,16:51,17:32,19:06,19:42,20:15,20:35,20:23,19:43,18:49,17:58,16:22,16:20
23,16:52,17:33,19:08,19:44,20:16,20:35,20:22,19:41,18:47,17:56,16:22,16:21
24,16:54,17:35,19:09,19:45,20:17,20:35,20:21,19:40,18:45,17:55,16:21,16:21
25,16:55,17:36,19:10,19:46,20:18,20:35,20:20,19:38,18:43,17:53,16:20,16:22
26,16:56,17:37,19:11,19:47,20:19,20:35,20:19,19:36,18:42,17:52,16:20,16:23
27,16:58,17:38,19:12,19:48,20:20,20:35,20:18,19:35,18:40,17:50,16:19,16:23
28,16:59,17:40,19:13,19:49,20:21,20:35,20:17,19:33,18:38,17:49,16:19,16:24
29,17:00,,19:15,19:51,20:22,20:35,20:16,19:31,18:36,17:48,16:19,16:25
30,17:02,,19:16,19:52,20:23,20:35,20:15,19:30,18:34,17:46,16:18,16:26
31,17:03,,19:17,,20:23,,20:14,19:28,,17:45,,16:27
